id,Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
1204,Sierra Leone,6/16/2015,4029,287,8649,12965,158,208,3553,3919
1205,United States of America,6/16/2015,0,0,4,4,0,0,1,1
1206,Senegal,6/16/2015,0,0,1,1,0,0,0,0
1207,Italy,6/16/2015,0,0,1,1,,,,0
1208,Nigeria,6/16/2015,0,1,19,20,0,1,7,8
1209,Spain,6/16/2015,0,0,1,1,0,0,0,0
1210,United States of America,6/17/2015,0,0,4,4,0,0,1,1
1211,Sierra Leone,6/17/2015,4029,287,8649,12965,158,208,3553,3919
1212,Nigeria,6/17/2015,0,1,19,20,0,1,7,8
1213,United Kingdom,6/17/2015,0,0,1,1,,,,0
1214,Italy,6/17/2015,0,0,1,1,,,,0
1215,Senegal,6/17/2015,0,0,1,1,0,0,0,0
1216,Spain,6/17/2015,0,0,1,1,0,0,0,0
1217,Mali,6/17/2015,0,1,7,8,,,,6
1218,Guinea,6/17/2015,10,419,3245,3674,,419,2025,2444
1219,Liberia,6/17/2015,5636,1879,3151,10666,,,,4806
1220,Sierra Leone,6/18/2015,4052,287,8651,12990,158,208,3556,3922
1221,Liberia,6/18/2015,5636,1879,3151,10666,,,,4806
1222,United States of America,6/18/2015,0,0,4,4,0,0,1,1
1223,Italy,6/18/2015,0,0,1,1,,,,0
1224,Senegal,6/18/2015,0,0,1,1,0,0,0,0
1225,United Kingdom,6/18/2015,0,0,1,1,,,,0
1226,Spain,6/18/2015,0,0,1,1,0,0,0,0
1227,Nigeria,6/18/2015,0,1,19,20,0,1,7,8
1228,Guinea,6/18/2015,10,419,3246,3675,,419,2026,2445
1229,Mali,6/18/2015,0,1,7,8,,,,6
1230,Mali,6/19/2015,0,1,7,8,,,,6
1231,Sierra Leone,6/19/2015,4071,287,8654,13012,158,208,3560,3926
1232,Nigeria,6/19/2015,0,1,19,20,0,1,7,8
1233,Spain,6/19/2015,0,0,1,1,0,0,0,0
1234,United States of America,6/19/2015,0,0,4,4,0,0,1,1
1235,Senegal,6/19/2015,0,0,1,1,0,0,0,0
1236,United Kingdom,6/19/2015,0,0,1,1,,,,0
1237,Italy,6/19/2015,0,0,1,1,,,,0
1238,Liberia,6/19/2015,5636,1879,3151,10666,,,,4806
1239,Guinea,6/19/2015,8,419,3247,3674,,419,2027,2446
