id,Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths"
1370,Guinea,7/8/2015,11,450,3287,3748,,450,2049,2499
1371,Italy,7/8/2015,0,0,1,1,,,,0
1372,Senegal,7/8/2015,0,0,1,1,0,0,0,0
1373,Liberia,7/8/2015,5636,1879,3151,10666,,,,4806
1374,Liberia,7/9/2015,5636,1879,3151,10666,,,,4806
1375,Senegal,7/9/2015,0,0,1,1,0,0,0,0
1376,Nigeria,7/9/2015,0,1,19,20,0,1,7,8
1377,Liberia,7/9/2015,,1,5,6,,,1,1
1378,United Kingdom,7/9/2015,0,0,1,1,,,,0
1379,United States of America,7/9/2015,0,0,4,4,0,0,1,1
1380,Italy,7/9/2015,0,0,1,1,,,,0
1381,Sierra Leone,7/9/2015,4207,287,8675,13169,158,208,3575,3941
1382,Guinea,7/9/2015,4,450,3290,3744,,450,2055,2505
1383,Mali,7/9/2015,0,1,7,8,,,,6
1384,Spain,7/9/2015,0,0,1,1,0,0,0,0
1385,Senegal,7/10/2015,0,0,1,1,0,0,0,0
1386,Mali,7/10/2015,0,1,7,8,,,,6
1387,Sierra Leone,7/10/2015,4214,287,8676,13177,158,208,3575,3941
1388,Nigeria,7/10/2015,0,1,19,20,0,1,7,8
1389,Italy,7/10/2015,0,0,1,1,,,,0
1390,Guinea,7/10/2015,8,450,3293,3751,,450,2055,2505
1391,Liberia,7/10/2015,,1,5,6,,,1,1
1392,Spain,7/10/2015,0,0,1,1,0,0,0,0
1393,United States of America,7/10/2015,0,0,4,4,0,0,1,1
1394,United Kingdom,7/10/2015,0,0,1,1,,,,0
1395,Liberia,7/10/2015,5636,1879,3151,10666,,,,4806
1396,Nigeria,7/13/2015,0,1,19,20,0,1,7,8
1397,Liberia,7/13/2015,5636,1879,3151,10666,,,,4806
1398,Spain,7/13/2015,0,0,1,1,0,0,0,0
1399,Liberia,7/13/2015,,1,5,6,,,1,1
1400,Senegal,7/13/2015,0,0,1,1,0,0,0,0
1401,Mali,7/13/2015,0,1,7,8,,,,6
1402,United Kingdom,7/13/2015,0,0,1,1,,,,0
1403,United States of America,7/13/2015,0,0,4,4,0,0,1,1
1404,Guinea,7/13/2015,5,450,3299,3754,,450,2056,2506
1405,Italy,7/13/2015,0,0,1,1,,,,0
1406,Sierra Leone,7/13/2015,4227,287,8687,13201,158,208,3580,3946
1407,Senegal,7/14/2015,0,0,1,1,0,0,0,0
1408,United Kingdom,7/14/2015,0,0,1,1,,,,0
1409,Liberia,7/14/2015,,1,6,7,,,2,2
1410,Guinea,7/14/2015,10,450,3300,3760,,450,2056,2506
1411,Spain,7/14/2015,0,0,1,1,0,0,0,0
1412,Liberia,7/14/2015,5636,1879,3151,10666,,,,4806
1413,Mali,7/14/2015,0,1,7,8,,,,6
1414,Italy,7/14/2015,0,0,1,1,,,,0
1415,United States of America,7/14/2015,0,0,4,4,0,0,1,1
1416,Sierra Leone,7/14/2015,4234,287,8688,13209,158,208,3581,3947
1417,Nigeria,7/14/2015,0,1,19,20,0,1,7,8
1418,Spain,7/15/2015,0,0,1,1,0,0,0,0
1419,Nigeria,7/15/2015,0,1,19,20,0,1,7,8
1420,Italy,7/15/2015,0,0,1,1,,,,0
1421,United Kingdom,7/15/2015,0,0,1,1,,,,0
1422,United States of America,7/15/2015,0,0,4,4,0,0,1,1
1423,Guinea,7/15/2015,10,450,3300,3760,,450,2056,2506
1424,Liberia,7/15/2015,5636,1879,3151,10666,,,,4806
1425,Liberia,7/15/2015,,1,6,7,,,2,2
1426,Mali,7/15/2015,0,1,7,8,,,,6
1427,Sierra Leone,7/15/2015,4234,287,8688,13209,158,208,3581,3947
1428,Senegal,7/15/2015,0,0,1,1,0,0,0,0
1429,Mali,7/16/2015,0,1,7,8,,,,6
1430,Italy,7/16/2015,0,0,1,1,,,,0
1431,Guinea,7/16/2015,8,450,3304,3762,,450,2056,2506
1432,Liberia,7/16/2015,5636,1879,3151,10666,,,,4806
1433,Spain,7/16/2015,0,0,1,1,0,0,0,0
1434,United Kingdom,7/16/2015,0,0,1,1,,,,0
1435,Senegal,7/16/2015,0,0,1,1,0,0,0,0
1436,United States of America,7/16/2015,0,0,4,4,0,0,1,1
1437,Liberia,7/16/2015,,0,6,6,,,2,2
1438,Sierra Leone,7/16/2015,4234,287,8688,13209,158,208,3581,3947
1439,Nigeria,7/16/2015,0,1,19,20,0,1,7,8
1440,United States of America,7/17/2015,0,0,4,4,0,0,1,1
1441,Liberia,7/17/2015,5636,1879,3151,10666,,,,4806
1442,United Kingdom,7/17/2015,0,0,1,1,,,,0
1443,Guinea,7/17/2015,10,450,3310,3770,,450,2059,2509
1444,Italy,7/17/2015,0,0,1,1,,,,0
1445,Nigeria,7/17/2015,0,1,19,20,0,1,7,8
1446,Liberia,7/17/2015,,1,6,7,,,2,2
1447,Mali,7/17/2015,0,1,7,8,,,,6
1448,Spain,7/17/2015,0,0,1,1,0,0,0,0
1449,Senegal,7/17/2015,0,0,1,1,0,0,0,0
1450,Sierra Leone,7/17/2015,4234,287,8688,13209,158,208,3581,3947
1451,Nigeria,7/20/2015,0,1,19,20,0,1,7,8
1452,Liberia,7/20/2015,5636,1879,3151,10666,,,,4806
1453,Senegal,7/20/2015,0,0,1,1,0,0,0,0
1454,Guinea,7/20/2015,12,450,3322,3784,,450,2061,2511
1455,United Kingdom,7/20/2015,0,0,1,1,,,,0
1456,United States of America,7/20/2015,0,0,4,4,0,0,1,1
1457,Liberia,7/20/2015,,1,6,7,,,2,2
1458,Italy,7/20/2015,0,0,1,1,,,,0
1459,Sierra Leone,7/20/2015,4262,287,8692,13241,158,208,3583,3949
1460,Mali,7/20/2015,0,1,7,8,,,,6
1461,Spain,7/20/2015,0,0,1,1,0,0,0,0
1462,Liberia,7/21/2015,,1,6,7,,,2,2
1463,Guinea,7/21/2015,11,450,3322,3783,,450,2062,2512
1464,United States of America,7/21/2015,0,0,4,4,0,0,1,1
1465,Sierra Leone,7/21/2015,4271,287,8692,13250,158,208,3583,3949
1466,United Kingdom,7/21/2015,0,0,1,1,,,,0
1467,Spain,7/21/2015,0,0,1,1,0,0,0,0
1468,Liberia,7/21/2015,5636,1879,3151,10666,,,,4806
1469,Senegal,7/21/2015,0,0,1,1,0,0,0,0
1470,Mali,7/21/2015,0,1,7,8,,,,6
1471,Nigeria,7/21/2015,0,1,19,20,0,1,7,8
1472,Italy,7/21/2015,0,0,1,1,,,,0
1473,Sierra Leone,7/22/2015,4271,287,8692,13250,158,208,3583,3949
1474,Spain,7/22/2015,0,0,1,1,0,0,0,0
1475,Guinea,7/22/2015,11,450,3322,3783,,450,2062,2512
1476,Nigeria,7/22/2015,0,1,19,20,0,1,7,8
1477,Italy,7/22/2015,0,0,1,1,,,,0
1478,Liberia,7/22/2015,,0,6,6,,,2,2
1479,Senegal,7/22/2015,0,0,1,1,0,0,0,0
1480,United States of America,7/22/2015,0,0,4,4,0,0,1,1
1481,Liberia,7/22/2015,5636,1879,3151,10666,,,,4806
1482,Mali,7/22/2015,0,1,7,8,,,,6
1483,United Kingdom,7/22/2015,0,0,1,1,,,,0
1484,United States of America,7/23/2015,0,0,4,4,0,0,1,1
1485,Spain,7/23/2015,0,0,1,1,0,0,0,0
1486,Sierra Leone,7/23/2015,4282,287,8693,13262,158,208,3583,3949
1487,Guinea,7/23/2015,13,450,3325,3788,,450,2066,2516
1488,Liberia,7/23/2015,5636,1879,3151,10666,,,,4806
1489,United Kingdom,7/23/2015,0,0,1,1,,,,0
1490,Nigeria,7/23/2015,0,1,19,20,0,1,7,8
1491,Mali,7/23/2015,0,1,7,8,,,,6
1492,Senegal,7/23/2015,0,0,1,1,0,0,0,0
1493,Liberia,7/23/2015,,1,6,7,,,2,2
1494,Italy,7/23/2015,0,0,1,1,,,,0
1495,United States of America,7/24/2015,0,0,4,4,0,0,1,1
1496,Liberia,7/24/2015,,1,6,7,,,2,2
1497,Mali,7/24/2015,0,1,7,8,,,,6
1498,Liberia,7/24/2015,5636,1879,3151,10666,,,,4806
1499,Sierra Leone,7/24/2015,4284,287,8693,13264,158,208,3583,3949
1500,Italy,7/24/2015,0,0,1,1,,,,0
1501,Senegal,7/24/2015,0,0,1,1,0,0,0,0
1502,Guinea,7/24/2015,11,451,3325,3787,,451,2066,2517
1503,Nigeria,7/24/2015,0,1,19,20,0,1,7,8
1504,Spain,7/24/2015,0,0,1,1,0,0,0,0
1505,United Kingdom,7/24/2015,0,0,1,1,,,,0
1506,Spain,7/27/2015,0,0,1,1,0,0,0,0
1507,Mali,7/27/2015,0,1,7,8,,,,6
1508,Senegal,7/27/2015,0,0,1,1,0,0,0,0
1509,Nigeria,7/27/2015,0,1,19,20,0,1,7,8
1510,Liberia,7/27/2015,5636,1879,3151,10666,,,,4806
1511,United States of America,7/27/2015,0,0,4,4,0,0,1,1
1512,Guinea,7/27/2015,16,451,3325,3792,,451,2068,2519
1513,United Kingdom,7/27/2015,0,0,1,1,,,,0
1514,Italy,7/27/2015,0,0,1,1,,,,0
1515,Liberia,7/27/2015,,1,6,7,,,2,2
1516,Sierra Leone,7/27/2015,4302,287,8694,13283,158,208,3585,3951
1517,United States of America,7/28/2015,0,0,4,4,0,0,1,1
1518,Spain,7/28/2015,0,0,1,1,0,0,0,0
1519,Mali,7/28/2015,0,1,7,8,,,,6
1520,United Kingdom,7/28/2015,0,0,1,1,,,,0
1521,Sierra Leone,7/28/2015,4309,287,8694,13290,158,208,3585,3951
1522,Guinea,7/28/2015,9,451,3326,3786,,451,2069,2520
1523,Nigeria,7/28/2015,0,1,19,20,0,1,7,8
1524,Senegal,7/28/2015,0,0,1,1,0,0,0,0
1525,Italy,7/28/2015,0,0,1,1,,,,0
1526,Liberia,7/28/2015,5636,1879,3151,10666,,,,4806
1527,Liberia,7/28/2015,,1,6,7,,,2,2
1528,Nigeria,7/29/2015,0,1,19,20,0,1,7,8
1529,Sierra Leone,7/29/2015,4309,287,8694,13290,158,208,3585,3951
1530,Liberia,7/29/2015,5636,1879,3151,10666,,,,4806
1531,United States of America,7/29/2015,0,0,4,4,0,0,1,1
1532,Senegal,7/29/2015,0,0,1,1,0,0,0,0
1533,Liberia,7/29/2015,,0,6,6,,,2,2
1534,Spain,7/29/2015,0,0,1,1,0,0,0,0
1535,Mali,7/29/2015,0,1,7,8,,,,6
1536,United Kingdom,7/29/2015,0,0,1,1,,,,0
1537,Italy,7/29/2015,0,0,1,1,,,,0
1538,Guinea,7/29/2015,9,451,3326,3786,,451,2069,2520
1539,Guinea,7/30/2015,7,452,3326,3785,,452,2069,2521
1540,Senegal,7/30/2015,0,0,1,1,0,0,0,0
1541,Spain,7/30/2015,0,0,1,1,0,0,0,0
1542,Mali,7/30/2015,0,1,7,8,,,,6
1543,Sierra Leone,7/30/2015,4398,287,8694,13379,158,208,3585,3951
1544,Nigeria,7/30/2015,0,1,19,20,0,1,7,8
1545,Italy,7/30/2015,0,0,1,1,,,,0
1546,United States of America,7/30/2015,0,0,4,4,0,0,1,1
1547,Liberia,7/30/2015,,0,6,6,,,2,2
1548,United Kingdom,7/30/2015,0,0,1,1,,,,0
1549,Liberia,7/30/2015,5636,1879,3151,10666,,,,4806
1550,Nigeria,7/31/2015,0,1,19,20,0,1,7,8
1551,Senegal,7/31/2015,0,0,1,1,0,0,0,0
1552,United States of America,7/31/2015,0,0,4,4,0,0,1,1
1553,Liberia,7/31/2015,,0,6,6,,,2,2
1554,Sierra Leone,7/31/2015,4406,287,8694,13387,158,208,3585,3951
1555,United Kingdom,7/31/2015,0,0,1,1,,,,0
1556,Guinea,7/31/2015,3,452,3326,3781,,452,2069,2521
1557,Spain,7/31/2015,0,0,1,1,0,0,0,0
1558,Italy,7/31/2015,0,0,1,1,,,,0
1559,Liberia,7/31/2015,5636,1879,3151,10666,,,,4806
1560,Mali,7/31/2015,0,1,7,8,,,,6
1561,United Kingdom,8/3/2015,0,0,1,1,,,,0
1562,Liberia,8/3/2015,,0,6,6,,,2,2
1563,Sierra Leone,8/3/2015,4420,287,8695,13402,158,208,3585,3951
1564,Italy,8/3/2015,0,0,1,1,,,,0
1565,United States of America,8/3/2015,0,0,4,4,0,0,1,1
1566,Nigeria,8/3/2015,0,1,19,20,0,1,7,8
1567,Liberia,8/3/2015,5636,1879,3151,10666,,,,4806
1568,Guinea,8/3/2015,7,452,3327,3786,,452,2070,2522
1569,Spain,8/3/2015,0,0,1,1,0,0,0,0
1570,Senegal,8/3/2015,0,0,1,1,0,0,0,0
1571,Mali,8/3/2015,0,1,7,8,,,,6
1572,Spain,8/4/2015,0,0,1,1,0,0,0,0
1573,Sierra Leone,8/4/2015,4424,287,8695,13406,158,208,3585,3951
1574,Liberia,8/4/2015,5636,1879,3151,10666,,,,4806
1575,United Kingdom,8/4/2015,0,0,1,1,,,,0
1576,Italy,8/4/2015,0,0,1,1,,,,0
1577,United States of America,8/4/2015,0,0,4,4,0,0,1,1
1578,Senegal,8/4/2015,0,0,1,1,0,0,0,0
1579,Mali,8/4/2015,0,1,7,8,,,,6
1580,Nigeria,8/4/2015,0,1,19,20,0,1,7,8
1581,Guinea,8/4/2015,5,452,3327,3784,,452,2070,2522
1582,Liberia,8/4/2015,,0,6,6,,,2,2
1583,Guinea,8/5/2015,5,452,3327,3784,,452,2070,2522
1584,Spain,8/5/2015,0,0,1,1,0,0,0,0
1585,Mali,8/5/2015,0,1,7,8,,,,6
1586,Sierra Leone,8/5/2015,4424,287,8695,13406,158,208,3585,3951
1587,Liberia,8/5/2015,5636,1879,3151,10666,,,,4806
1588,Italy,8/5/2015,0,0,1,1,,,,0
1589,Senegal,8/5/2015,0,0,1,1,0,0,0,0
1590,Liberia,8/5/2015,,0,6,6,,,2,2
1591,United States of America,8/5/2015,0,0,4,4,0,0,1,1
1592,United Kingdom,8/5/2015,0,0,1,1,,,,0
1593,Nigeria,8/5/2015,0,1,19,20,0,1,7,8
1594,Spain,8/6/2015,0,0,1,1,0,0,0,0
1595,Guinea,8/6/2015,11,452,3329,3792,,452,2072,2524
1596,Senegal,8/6/2015,0,0,1,1,0,0,0,0
1597,Mali,8/6/2015,0,1,7,8,,,,6
1598,Nigeria,8/6/2015,0,1,19,20,0,1,7,8
1599,United Kingdom,8/6/2015,0,0,1,1,,,,0
1600,Sierra Leone,8/6/2015,4443,287,8696,13426,158,208,3585,3951
1601,Liberia,8/6/2015,5636,1879,3151,10666,,,,4806
1602,Liberia,8/6/2015,,0,6,6,,,2,2
1603,United States of America,8/6/2015,0,0,4,4,0,0,1,1
1604,Italy,8/6/2015,0,0,1,1,,,,0
1605,Liberia,8/7/2015,,0,6,6,,,2,2
1606,Spain,8/7/2015,0,0,1,1,0,0,0,0
1607,Sierra Leone,8/7/2015,4445,287,8696,13428,158,208,3585,3951
1608,United States of America,8/7/2015,0,0,4,4,0,0,1,1
1609,Liberia,8/7/2015,5636,1879,3151,10666,,,,4806
1610,Guinea,8/7/2015,14,452,3329,3795,,452,2072,2524
1611,Senegal,8/7/2015,0,0,1,1,0,0,0,0
1612,United Kingdom,8/7/2015,0,0,1,1,,,,0
1613,Nigeria,8/7/2015,0,1,19,20,0,1,7,8
1614,Italy,8/7/2015,0,0,1,1,,,,0
1615,Mali,8/7/2015,0,1,7,8,,,,6
1616,Liberia,8/10/2015,,0,6,6,,,2,2
1617,United Kingdom,8/10/2015,0,0,1,1,,,,0
1618,Sierra Leone,8/10/2015,4481,287,8697,13465,158,208,3585,3951
1619,Senegal,8/10/2015,0,0,1,1,0,0,0,0
1620,Liberia,8/10/2015,5636,1879,3151,10666,,,,4806
1621,Spain,8/10/2015,0,0,1,1,0,0,0,0
1622,Guinea,8/10/2015,10,452,3329,3791,,452,2072,2524
1623,Mali,8/10/2015,0,1,7,8,,,,6
1624,United States of America,8/10/2015,0,0,4,4,0,0,1,1
1625,Italy,8/10/2015,0,0,1,1,,,,0
1626,Nigeria,8/10/2015,0,1,19,20,0,1,7,8
1627,Spain,8/11/2015,0,0,1,1,0,0,0,0
1628,Guinea,8/11/2015,6,452,3329,3787,,452,2072,2524
1629,Italy,8/11/2015,0,0,1,1,,,,0
1630,Liberia,8/11/2015,,0,6,6,,,2,2
1631,United States of America,8/11/2015,0,0,4,4,0,0,1,1
1632,Sierra Leone,8/11/2015,4486,287,8697,13470,158,208,3585,3951
1633,Senegal,8/11/2015,0,0,1,1,0,0,0,0
1634,Nigeria,8/11/2015,0,1,19,20,0,1,7,8
1635,United Kingdom,8/11/2015,0,0,1,1,,,,0
1636,Mali,8/11/2015,0,1,7,8,,,,6
1637,Liberia,8/11/2015,5636,1879,3151,10666,,,,4806
1638,Liberia,8/12/2015,,0,6,6,,,2,2
1639,Spain,8/12/2015,0,0,1,1,0,0,0,0
1640,United Kingdom,8/12/2015,0,0,1,1,,,,0
1641,Nigeria,8/12/2015,0,1,19,20,0,1,7,8
1642,United States of America,8/12/2015,0,0,4,4,0,0,1,1
1643,Italy,8/12/2015,0,0,1,1,,,,0
1644,Mali,8/12/2015,0,1,7,8,,,,6
1645,Liberia,8/12/2015,5636,1879,3151,10666,,,,4806
1646,Senegal,8/12/2015,0,0,1,1,0,0,0,0
1647,Guinea,8/12/2015,6,452,3329,3787,,452,2072,2524
1648,Sierra Leone,8/12/2015,4486,287,8697,13470,158,208,3585,3951
1649,Senegal,8/13/2015,0,0,1,1,0,0,0,0
1650,Guinea,8/13/2015,10,452,3330,3792,,452,2072,2524
1651,Sierra Leone,8/13/2015,4500,287,8697,13484,158,208,3585,3951
1652,Italy,8/13/2015,0,0,1,1,,,,0
1653,Spain,8/13/2015,0,0,1,1,0,0,0,0
1654,United Kingdom,8/13/2015,0,0,1,1,,,,0
1655,Mali,8/13/2015,0,1,7,8,,,,6
1656,United States of America,8/13/2015,0,0,4,4,0,0,1,1
1657,Nigeria,8/13/2015,0,1,19,20,0,1,7,8
1658,Liberia,8/13/2015,,0,6,6,,,2,2
1659,Liberia,8/13/2015,5636,1879,3151,10666,,,,4806
1660,Senegal,8/14/2015,0,0,1,1,0,0,0,0
1661,Mali,8/14/2015,0,1,7,8,,,,6
1662,Spain,8/14/2015,0,0,1,1,0,0,0,0
1663,Nigeria,8/14/2015,0,1,19,20,0,1,7,8
1664,United States of America,8/14/2015,0,0,4,4,0,0,1,1
1665,Italy,8/14/2015,0,0,1,1,,,,0
1666,Guinea,8/14/2015,9,452,3330,3791,,452,2072,2524
1667,Sierra Leone,8/14/2015,4501,287,8697,13485,158,208,3586,3952
1668,Liberia,8/14/2015,,0,6,6,,,2,2
1669,Liberia,8/14/2015,5636,1879,3151,10666,,,,4806
1670,United Kingdom,8/14/2015,0,0,1,1,,,,0
1671,Guinea,8/17/2015,6,452,3332,3790,,452,2072,2524
1672,Senegal,8/17/2015,0,0,1,1,0,0,0,0
1673,Liberia,8/17/2015,,0,6,6,,,2,2
1674,Spain,8/17/2015,0,0,1,1,0,0,0,0
1675,Sierra Leone,8/17/2015,4505,287,8697,13489,158,208,3586,3952
1676,Italy,8/17/2015,0,0,1,1,,,,0
1677,United States of America,8/17/2015,0,0,4,4,0,0,1,1
1678,Nigeria,8/17/2015,0,1,19,20,0,1,7,8
1679,Liberia,8/17/2015,5636,1879,3151,10666,,,,4806
1680,Mali,8/17/2015,0,1,7,8,,,,6
1681,United Kingdom,8/17/2015,0,0,1,1,,,,0
1682,United Kingdom,8/18/2015,0,0,1,1,,,,0
1683,Spain,8/18/2015,0,0,1,1,0,0,0,0
1684,Sierra Leone,8/18/2015,4510,287,8697,13494,158,208,3586,3952
1685,Italy,8/18/2015,0,0,1,1,,,,0
1686,Liberia,8/18/2015,5636,1879,3151,10666,,,,4806
1687,Guinea,8/18/2015,2,452,3332,3786,,452,2072,2524
1688,United States of America,8/18/2015,0,0,4,4,0,0,1,1
1689,Senegal,8/18/2015,0,0,1,1,0,0,0,0
1690,Nigeria,8/18/2015,0,1,19,20,0,1,7,8
1691,Liberia,8/18/2015,,0,6,6,,,2,2
1692,Mali,8/18/2015,0,1,7,8,,,,6
1693,Liberia,8/19/2015,,0,6,6,,,2,2
1694,Italy,8/19/2015,0,0,1,1,,,,0
1695,Senegal,8/19/2015,0,0,1,1,0,0,0,0
1696,Nigeria,8/19/2015,0,1,19,20,0,1,7,8
1697,Spain,8/19/2015,0,0,1,1,0,0,0,0
1698,Guinea,8/19/2015,2,452,3332,3786,,452,2072,2524
1699,United Kingdom,8/19/2015,0,0,1,1,,,,0
1700,Mali,8/19/2015,0,1,7,8,,,,6
1701,Sierra Leone,8/19/2015,4510,287,8697,13494,158,208,3586,3952
1702,Liberia,8/19/2015,5636,1879,3151,10666,,,,4806
1703,United States of America,8/19/2015,0,0,4,4,0,0,1,1
1704,Senegal,8/20/2015,0,0,1,1,0,0,0,0
1705,Guinea,8/20/2015,6,452,3334,3792,,452,2074,2526
1706,Liberia,8/20/2015,5636,1879,3151,10666,,,,4806
1707,Spain,8/20/2015,0,0,1,1,0,0,0,0
1708,Mali,8/20/2015,0,1,7,8,,,,6
1709,Nigeria,8/20/2015,0,1,19,20,0,1,7,8
1710,United Kingdom,8/20/2015,0,0,1,1,,,,0
1711,Italy,8/20/2015,0,0,1,1,,,,0
1712,Sierra Leone,8/20/2015,4534,287,8697,13518,158,208,3586,3952
1713,United States of America,8/20/2015,0,0,4,4,0,0,1,1
1714,Liberia,8/20/2015,,0,6,6,,,2,2
1715,Senegal,8/21/2015,0,0,1,1,0,0,0,0
1716,Italy,8/21/2015,0,0,1,1,,,,0
1717,Liberia,8/21/2015,,0,6,6,,,2,2
1718,Spain,8/21/2015,0,0,1,1,0,0,0,0
1719,United States of America,8/21/2015,0,0,4,4,0,0,1,1
1720,Guinea,8/21/2015,9,452,3334,3795,,452,2074,2526
1721,Liberia,8/21/2015,5636,1879,3151,10666,,,,4806
1722,Nigeria,8/21/2015,0,1,19,20,0,1,7,8
1723,Mali,8/21/2015,0,1,7,8,,,,6
1724,Sierra Leone,8/21/2015,4549,287,8697,13533,158,208,3586,3952
1725,United Kingdom,8/21/2015,0,0,1,1,,,,0
1726,Liberia,8/24/2015,,0,6,6,,,2,2
1727,Senegal,8/24/2015,0,0,1,1,0,0,0,0
1728,Guinea,8/24/2015,4,452,3334,3790,,452,2075,2527
1729,United Kingdom,8/24/2015,0,0,1,1,,,,0
1730,Mali,8/24/2015,0,1,7,8,,,,6
1731,Spain,8/24/2015,0,0,1,1,0,0,0,0
1732,Nigeria,8/24/2015,0,1,19,20,0,1,7,8
1733,Italy,8/24/2015,0,0,1,1,,,,0
1734,United States of America,8/24/2015,0,0,4,4,0,0,1,1
1735,Liberia,8/24/2015,5636,1879,3151,10666,,,,4806
1736,Sierra Leone,8/24/2015,4554,287,8697,13538,158,208,3586,3952
1737,Italy,8/25/2015,0,0,1,1,,,,0
1738,Senegal,8/25/2015,0,0,1,1,0,0,0,0
1739,United States of America,8/25/2015,0,0,4,4,0,0,1,1
1740,Liberia,8/25/2015,5636,1879,3151,10666,,,,4806
1741,Liberia,8/25/2015,,0,6,6,,,2,2
1742,Spain,8/25/2015,0,0,1,1,0,0,0,0
1743,Sierra Leone,8/25/2015,4557,287,8697,13541,158,208,3586,3952
1744,Mali,8/25/2015,0,1,7,8,,,,6
1745,Nigeria,8/25/2015,0,1,19,20,0,1,7,8
1746,Guinea,8/25/2015,5,452,3335,3792,,452,2075,2527
1747,United Kingdom,8/25/2015,0,0,1,1,,,,0
1748,Liberia,8/26/2015,,0,6,6,,,2,2
1749,Mali,8/26/2015,0,1,7,8,,,,6
1750,United States of America,8/26/2015,0,0,4,4,0,0,1,1
1751,Italy,8/26/2015,0,0,1,1,,,,0
1752,Nigeria,8/26/2015,0,1,19,20,0,1,7,8
1753,Sierra Leone,8/26/2015,4557,287,8697,13541,158,208,3586,3952
1754,Spain,8/26/2015,0,0,1,1,0,0,0,0
1755,Guinea,8/26/2015,5,452,3335,3792,,452,2075,2527
1756,United Kingdom,8/26/2015,0,0,1,1,,,,0
1757,Senegal,8/26/2015,0,0,1,1,0,0,0,0
1758,Liberia,8/26/2015,5636,1879,3151,10666,,,,4806
1759,Liberia,8/27/2015,,0,6,6,,,2,2
1760,Mali,8/27/2015,0,1,7,8,,,,6
1761,Nigeria,8/27/2015,0,1,19,20,0,1,7,8
1762,Guinea,8/27/2015,9,452,3336,3797,,452,2076,2528
1763,Italy,8/27/2015,0,0,1,1,,,,0
1764,Spain,8/27/2015,0,0,1,1,0,0,0,0
1765,Sierra Leone,8/27/2015,4598,287,8697,13582,158,208,3586,3952
1766,Liberia,8/27/2015,5636,1879,3151,10666,,,,4806
1767,United Kingdom,8/27/2015,0,0,1,1,,,,0
1768,Senegal,8/27/2015,0,0,1,1,0,0,0,0
1769,United States of America,8/27/2015,0,0,4,4,0,0,1,1
1770,Liberia,8/28/2015,5636,1879,3151,10666,,,,4806
1771,Mali,8/28/2015,0,1,7,8,,,,6
1772,United States of America,8/28/2015,0,0,4,4,0,0,1,1
1773,Spain,8/28/2015,0,0,1,1,0,0,0,0
1774,Senegal,8/28/2015,0,0,1,1,0,0,0,0
1775,Liberia,8/28/2015,,0,6,6,,,2,2
1776,Nigeria,8/28/2015,0,1,19,20,0,1,7,8
1777,Italy,8/28/2015,0,0,1,1,,,,0
1778,Guinea,8/28/2015,9,452,3336,3797,,452,2076,2528
1779,United Kingdom,8/28/2015,0,0,1,1,,,,0
1780,Sierra Leone,8/28/2015,4602,287,8697,13586,158,208,3586,3952
1781,Mali,8/31/2015,0,1,7,8,,,,6
1782,Liberia,8/31/2015,,0,6,6,,,2,2
1783,Guinea,8/31/2015,1,452,3337,3790,,452,2076,2528
1784,Sierra Leone,8/31/2015,4618,287,8698,13603,158,208,3587,3953
1785,Nigeria,8/31/2015,0,1,19,20,0,1,7,8
1786,Senegal,8/31/2015,0,0,1,1,0,0,0,0
1787,Liberia,8/31/2015,5636,1879,3151,10666,,,,4806
1788,Spain,8/31/2015,0,0,1,1,0,0,0,0
1789,United States of America,8/31/2015,0,0,4,4,0,0,1,1
1790,United Kingdom,8/31/2015,0,0,1,1,,,,0
1791,Italy,8/31/2015,0,0,1,1,,,,0
1792,Spain,9/1/2015,0,0,1,1,0,0,0,0
1793,Guinea,9/1/2015,3,452,3337,3792,,452,2077,2529
1794,Liberia,9/1/2015,5636,1879,3151,10666,,,,4806
1795,Sierra Leone,9/1/2015,4624,287,8698,13609,158,208,3587,3953
1796,United States of America,9/1/2015,0,0,4,4,0,0,1,1
1797,Liberia,9/1/2015,,0,6,6,,,2,2
1798,Mali,9/1/2015,0,1,7,8,,,,6
1799,Italy,9/1/2015,0,0,1,1,,,,0
1800,United Kingdom,9/1/2015,0,0,1,1,,,,0
1801,Senegal,9/1/2015,0,0,1,1,0,0,0,0
1802,Nigeria,9/1/2015,0,1,19,20,0,1,7,8
1803,Sierra Leone,9/2/2015,4624,287,8698,13609,158,208,3587,3953
1804,Mali,9/2/2015,0,1,7,8,,,,6
1805,United States of America,9/2/2015,0,0,4,4,0,0,1,1
1806,United Kingdom,9/2/2015,0,0,1,1,,,,0
1807,Guinea,9/2/2015,3,452,3337,3792,,452,2077,2529
1808,Liberia,9/2/2015,5636,1879,3151,10666,,,,4806
1809,Spain,9/2/2015,0,0,1,1,0,0,0,0
1810,Senegal,9/2/2015,0,0,1,1,0,0,0,0
1811,Italy,9/2/2015,0,0,1,1,,,,0
1812,Nigeria,9/2/2015,0,1,19,20,0,1,7,8
1813,Liberia,9/2/2015,,,6,6,,,2,2
1814,Italy,9/3/2015,0,0,1,1,,,,0
1815,Spain,9/3/2015,0,0,1,1,0,0,0,0
1816,Mali,9/3/2015,0,1,7,8,,,,6
